제목,축제 기간,주소,비용,상세 내용
대한민국 청년의 날,2024.09.21 ~ 2024.09.22,서울특별시 마포구 한강난지로 162 (상암동) 난지 한강공원,입장료 무료 (콘서트는 유료),"대한민국 최초 청년을 위한 자발적 참여형 종합축제, 대한민국 청년의 날은 국회사무처 소관 사단법인 청년과미래에서 2016년부터 법정기념일 지정을 위해 준비해온 청년의 날이, 법정기념일로 지정되었다. 흥미진진한 프로그램들로 청년들의 심장을 뛰게해줄 [2024 제8회 대한민국 청년의 날 축제]를 기대할 수 있다. 2024년 9월 21일 토요일, 22일 일요일 난지 한강공원 젊음의광장에서 2024 제8회 대한민국 청년의 날이 개최된다.
[행사내용]
대표 프로그램
- 청년의 날 콘서트
- 2024 크리에이터 페스티벌
- 대한민국 청년의 날, 플래시몹
- 해외청년퀴즈대회
- 청년주거 토크콘서트
- F&B 페스티벌
- 뷰티힐링존
- 대한민국 청년의 날 기념식
- 제9회 청년정책 경진대회
- 2024청년친화헌정대상 시상식
- 2024청년 스타트업 어워즈
- 2024사회공헌공로대상 시상식
- 2024청년친화기업 인증서 수여식
- 취업진학상담
- 4차산업취창업페스티벌 등"
벽초지수목원 가을꽃 국화축제,2024.09.21 ~ 2024.11.17,경기도 파주시 광탄면 부흥로 242 벽초지수목원,"성인 일반 10,500
중고생 / 경로 / 장애인 / 유공자 8,500
어린이 7,500
36개월 미만 무료","동양정원과 서양정원이 아름다운 벽초지수목원이 2024년 가을꽃 국화축제를 개최한다.
행사기간 설렘, 신화, 모험, 자유, 사색, 그리고 감동의 테마 아래 29개의 소정원들은 국화를 비롯한 아름다운 가을꽃들로 수놓아 진다.
설렘의 공간에는 멋드러진 국화 조형물들이 여왕의 정원과 어울려 설치되며, 자유의 공간에는 30여종이 넘는 그라스들과 어우러진 각종 식물들을 관람할 수 있다. 특히, 2024년 새롭게 오픈한 신화의공간 말리성의가든은 유럽의 궁전 정원 여행을 방불케 하는 경험을 선사한다.
화원에서는 각종 희귀 국화들을 관람 및 판매하고 국화가 가득한 플라워힐 포토스팟을 운영한다.
[행사내용]
벽초지수목원 화원에서는 가을의 대표꽃인 국화꽃 전시 및 판매, 심기 체험이 진행된다.
갤러리에는 '벽초지 사진전'을 테마로 사계의 벽초지수목원, 관람객들이 직접 찍은 사진들을 전시하고 있다.
2024년 KCIA외식업 이탈리아 음식 부문 우수상에 빛나는 보타니 브런치카페에서는 아름다운 화단을 바라보며 피자, 파스타 등 쉐프의 야심찬 메뉴를 만나볼 수 있다.
먼치먼치 푸드코트에서는 향기로운 커피류와 남녀노소가 즐길 수 있는 스낵류를 즐길 수 있다."
별바다부산 나이트마켓,2024.09.21 ~ 2024.10.13,"부산광역시 북구 생태공원길 270 (화명동) 화명생태공원 연꽃단지 일원, 금빛노을브릿지","축제참여 무료
일부 체험 프로그램 유료
(스피릿 부산 패키지 15,000원 ~ 25,000원 / 셀프쿠킹존 5,000원 / 전통주 잔술판매 3,000원 등)","부산의 대표 교역의 장이었던 구포나룻터를 상기하는 동시에 아름다운 낙동강변의 저녁노을과 화명생태공원의 아름다움을 곁에 두고 전통주와 구포시장의 다양한 푸드콘텐츠를 모두가 즐길 수 있는 관광테마 나이트마켓을 운영함으로써 부산의 야간관광의 다채로움을 더한다.
[행사내용]
<메인_구포나루터주막>
1. SPIRIT부산
-부산 대표 전통주와 전국 유명 전통주들을 한 자리에서 만나볼 수 있는 전통주 팝업스토어 운영
-전통주 활용 칵테일 팝업 부스 운영
-전통주 베이스 커피칵테일 팝업부스 운영(WCIGS 챔피언 등)

2. SUNSET 낭만평상
-선셋과 야경을 함께 즐길 수 잇는 휴게 공간
-레트로한 느낌의 목재 평상존
-빛을 활용한 포토존

3. 구포나루 먹거리장터
-전통주와 즐길 수 있는 다양한 먹거리를 판매하는 푸드트럭존
-구포시장 및 부산의 다양한 먹거리를 만나볼 수 있는 구포장터 팝업부스

<체험_구포나루터 부뚜막>
1. 전 만들기 체험
-구포시장에서 당일 구매한 로컬푸드인 다양한 야채들로 직접 전을 부쳐서 먹을 수 잇는 체험 프로그램 운영
-주간별 전 종류 변경(동래파전, 노랑호박전, 부추전, 김치전 등)

2. 막걸리 빚기 체험
-나만의 막걸리를 직접 만들어보는 막걸리 빚기 체험)

3. 힐링나루
-아름다운 석양을 보며 심신을 수련하는 요가 프로그램
-연꽃습지의 자연을 맨발로 느낄 수 있는 어싱 프로그램

4. 어린이 요리교실
-어린이 대상 화전 만들기 쿠킹클래스 운영
-어묵 만들기 쿠킹클래스 운영

<부대_구포나루터 광장>
1. 장돌뱅이 마켓
-다양한 소상공인의 공예품과 소품 등을 만나볼 수 있는 플리마켓
-어린이들의 물품을 교환하거나 판매할 수 있는 어린이 벼룩시장

2. 공연 프로그램
-아름다운 야경과 함께 즐길 수 잇는 무대 및 공연 프로그램

<협업>
**구포나루축제
- 부산 북구를 대표하는 축제 구포나루축제와 연계한 프로그램 운영(10월 11일 ~ 10월 13일)"
부산 코믹월드,2024.09.21 ~ 2024.09.22,부산광역시 해운대구 APEC로 55 부산 벡스코 제2전시장 1층 4홀,"유료
사전예매가 7,000원","대한민국 대표 동인 행사 코믹월드는 아마추어 만화가들이 직접 창작한 만화창작품을 전시 및 판매하는 이벤트이다. 개인 또는 동아리가 직접 만든 창작품(회지, 팬시, 일러스트 등)을 전시하거나 판매할 수 있다. 관람객분들은 코믹월드에서 자유롭게 아마추어 만화가들의 작품과 소통할 수 있다. 자신의 창작품을 소개하고 교류할 수 있는 장을 만들며, 나아가 만화를 사랑하는 사람들 간의 커뮤니케이션을 공유할 수 있는 창작 이벤트들로 구성된 행사이다. 다양한 랜덤 상품을 증정 받을 수 있는 가챠추첨소와 스탬프 이벤트가 있으며 우수회지 콘테스트의 우수회지 선정을 위한 현장 스티커 투표가 진행된다. 댄스, 노래, 퍼포먼스 등 넘치는 끼를 뽐내는 코스프레 무대 행사 시간에 최종 수상작이 발표된다.
[행사내용]
- 동아리 전시교류전
- 코스프레 무대행사
- 가챠추첨소
- 서울문구전
- 서울디저트페어 팝업전"
부산청년주간,2024.09.21 ~ 2024.09.27,부산광역시 수영구 민락수변로17번길 56 (민락동),무료,"청년의 날을 맞아 부산 밀락더마켓에서 열리는 '2024 부산청년주간' 행사이다. 행사기간 동안에 청년들을 위한 다양한 프로그램이 구성되어 있다.
[행사내용]
대표 프로그램
- 청년의 날 기념식
- 청년예술작가 작품전시회
- 청년 랜덤플레이댄스
- 청년 독립영화상영회
- 청년 원데이클래스
- 청년 네트워킹 파티"
석계역 달빛야행,2024.09.21 ~ 2024.09.21,서울특별시 노원구 월계동 56-5 석계역문화공원,"입장료 무료
프로그램에 따라 상이(먹거리, 일부 체험 유료)","석계역 달빛야행은 야간 및 음식문화 활성화를 통해 월계동 상권을 활성화하기 위한 지역 축제로서, 7080 레트로 콘셉트로 먹거리, 즐길거리, 볼거리 등 다채로운 프로그램으로 즐거움과 힐링을 시간을 제공한다.
[행사내용]
1. 무대 공연
· 점등식, 제이티(서커스), 장한샘(전자바이올린), 7080 젊음의 행진(복고댄스), DJ SEFO(디제잉), 가수 현진영 특별출연

2. 버스킹 공연
· 포크 패밀리(어쿠스틱 밴드), 주연(아코디언), 색소가이즈(색소폰)

3. 야간 음식 부스
· 수제 막걸리, 수제 맥주, 안주류, 커피, 디저트 등 31개 부스

4. 추억의 즐길거리
· 추억 전시관, 추억 오락식, 추억 간식, 추억 놀이(옛날 펌프, 인력거, 달고나 만들기), 추억의 교복의상 대여, 전통놀이 체험, 고고장(뮤직&댄스), 레트로 영화관"
알리다 페스티벌,2024.09.21 ~ 2024.09.21,서울특별시 용산구 양녕로 445 (이촌동),무료,"알리다 페스티벌은 2024년 9월 21일, 오전 11시부터 오후 7시까지 서울 노들섬 노들갤러리 1관에서 진행되는 문화예술 행사이다. 알리다는 ㈜위밋커뮤니케이션에서 관리하는 문화예술 SNS 계정으로, 이번에 오프라인 행사로 첫선을 보인다. 상생과 순환이라는 주제로 플리마켓, 전시, 리추얼 프로그램, 디제잉 세션이 운영된다. 현재 인스타그램 계정 프로필 하단의 링크트리를 통해 참가자를 모집하고 있다. 참가자들에게는 에코백과 리플렛이 제공될 예정이다.
[행사내용]
1. 메인프로그램: 미술 작품 전시(참여작가: 강재준 손한울 인신영 이명수 정상희 정분홍 탈리아)
2. 부대프로그램: RE:마켓(기업, 개인이 참여하는 플리마켓 프로그램)
3. 소비자 참여 프로그램 : 리추얼 프로그램 <먹멍> - 서예를 통해 힐링하는 리추얼 세션
4. 기타 내용 : 디제잉 세션(DJ 플로모와 노들갤러리 내부에서 진행하는 디제잉 세션)"
은평청년페스티벌,2024.09.21 ~ 2024.09.21,서울특별시 은평구 녹번로 16 은평문화예술회관  은평문화예술회관,무료,"은평청년페스티벌'은 은평구에서 매년 9월 청년의 날을 기념하여 개최하는 행사로, 은평청년축제위원회를 위촉하여 청년들이 직접 기획하고 참여하는 행사이다. 청년동아리가 그간 준비한 공연을 선보이는 '청년의 날 기념식'과 청년들에게 동기부여가 되어줄 수 있는 연사의 청년특강, 무선 헤드폰을 끼고 즐기는 무소음 DJ 파티와 더불어 청년예술인의 꿈을 응원할 수 있는 청년버스킹과 청년작가전시, 20여개의 체험, 먹거리 부스가 운영된다. 2024 은평청년페스티벌에서는 청년 자신의목소리로 외치는'청년, 가슴을 열어라!'와 필요없는 물건을 나누는'전남친/전여친 물건소환 플리마켓'이 새롭게 진행될 예정으로 청년들과 지역주민이 함께 즐길 수 있는 축제의 장이 펼쳐진다.
[행사내용]
1. 메인프로그램 : 청년의 날 기념식, 청년특강, 무소음 dj 파티
2. 부대프로그램 : 청년작가전시, 청년, 가슴을 열어라!, 전남친/전여친 물건소환 플리마켓, 20여개 체험,먹거리 부스"
이천청년축제,2024.09.21 ~ 2024.09.21,경기도 이천시 경충대로2697번길 263 (관고동),무료,"매년 9월 세 번째 토요일은 '청년의 날' 입니다. 청년의 날을 기념하기 위해 이천시 청년 소상공인, 예술인, 체험 강사, 여러 청년 단체들이 모여 만든 문화축제이다. 청년의 날 기념식에서는 이천 청년들이 직접 청년헌장을 낭독하고 이천시장이 직접 이천시 청년상을 시상한다. 그외 먹거리, 볼거리, 즐길거리 등 푸드트럭과 공연, 체험이 준비되어 있다.
[행사내용]
1. 메인프로그램
- 2024 청년의 날 기념식

2. 부대프로그램
- 플리마켓 / 릴레이 공연 / 토크콘서트 등

3. 소비자 참여 프로그램
- 도전! 이천 골든벨 / 밈클래스 / 콜라빨리먹기 / 슛! 찾아가는 농구골대 / 맛집지도 / 오징어게임 / 연대와 화합의 믹스볼 등"
익산 청년의 날 축제,2024.09.21 ~ 2024.09.21,전북특별자치도 익산시 중앙로1길 17 (창인동1가),"무료 (일부 유료, 식음료 구매 등)","익산시 청년을 위한 청년의 날을 기념하여 익산 중앙동 젊음의 거리 일대에서 청년들에게 활력을 제공할 로컬 행사. 청년의 날 축제, 청년은 맵다. 를 진행한다. 맵다 + 청년 의 키워드를 더해 = 청년 ""할 수 있어"" 의 의미를 전달한다. 청년 (20-30) 을 타겟으로 익산청년이 즐길 수 있는 콘텐츠 (불닭볶음면 매뉴 개발, 각종 체험 및 게임, 퀴즈와 공연) 를 구성하여 차년도에도 지역 청년들이 즐길 수 있는 로컬 행사로 발전을 도모한다. 청년마을 익산 내 기업 (삼양, 하이트) 과 함께 협업하여 지역 축제에 청년들의 관심을 끌 수 있도록 하고, 로컬 업체와 함께 축제 음식을 직접 개발하는 등 지역의 특색을 살린 청년 축제가 되도록 여러 콘텐츠를 개발하였다. 나아가 지역 기업과 지역 축제에 대한 긍정적인 이미지를 줄 수 있게 한다.
[행사내용]
행사 일반 (상시)
삼양라면과 콜라보한 불닭볶음면 메뉴 개발 판매 (지역기업 및 지역셰프와 협업) / 유튜버(박은영, 임성욱)의 라이브 먹방 부스 진행 / 하이트 진로 맥주 / 포토존 구성 / 지역 기업과 함께하는 전시존 구성

공연
토크콘서트 (군산 출신 뮤지컬 배우 구희아 와 함께하는 청년 고민 상담 콘텐츠) 불닭볶음면 전문 콘텐츠 유튜버 미소 / 군산 출신 뮤지컬 배우 구희아 / 보이스코리아 출신, 익산 싱어송라이터 선지혜 / 익산시 청소년 수련관 댄스팀 인티미시 / Mc 이박사

전시
익산시 청년마을인 지구장이 마을을 중심으로 전국 28개 청년마을의 활동자료를 수집하여 전시 / 후원 및 유관기관의 전시 구성

체험
관람객 참여형 체험 진행 및 경품 지급 / 스텝퍼 게임 (코레일 협업) / 삼양라면 맞추기 퀴즈, 뽑기 게임 (삼양협업) / MC 퀴즈쇼"
정서진 피크닉 클래식,2024.09.21 ~ 2024.09.21,인천광역시 서구 청라대로 88 (청라동) 청라국제도시 야외음악당,무료,"피크닉을 하듯 편안한 분위기에서 즐기는 인천 서구의 대표 야외 클래식 축제이다. 인천 서구민 누구나, 타 지역 관람객, 국내외 유수 클래식 예술가 및 애호가 모두 즐길 수 있다.
[행사내용]
1. 메인프로그램
- 가을밤 호숫가 음악회, 페스티벌 음악회, 클래식 요가&클래식 런, 클래식이 있는 문학살롱

2. 부대프로그램
- 마켓, 푸드트럭

3. 소비자 참여 프로그램
- 체험 프로그램

4. 기타 내용
- 인천서구구립도서관과 함께하는 제3회 통통한 도서관 축제"
고창청농원 핑크뮬리시즌,2024.09.20 ~ 2024.10.27,전북특별자치도 고창군 공음면 청천길 41-27,5000원(2012년이하(초등생까지) 무료),"전라북도 고창군 공음면에 위치한 고창청농원에서 가을을 맞아 핑크뮬리시즌을 개최한다.
청농원의 핑크뮬리 정원은 약 5000여평에 걸친 분홍 갈대밭과 가을에 만나볼 수 있는 화훼들로 만개시기엔 넘실대는 핑크빛 물결로 장관을 이룬다. 이번 시즌 정원 윗밭엔 흰 메밀도 같이 심어 핑크뮬리와 흰 메밀의 조화로움도 느껴볼 수 있다.

마을의 옛 이름인 맑은 개을가 마을이라는 뜻의 '청천(?川) 마을'에서 따온 말인 청농원은 2만여평의 넓은 공간에 옛 정취를 그대로 간직한 한옥 술암제, 여행자들의 쉼터 , 넘실대는 분홍빛 물결의 핑크뮬리 정원, 보랏빛 향기를 머금은 라벤더 정원(5월-6월경)이 조성되어 있다.
또한 걷는 동안 지루하지 않게 곳곳에 다양한 포토존을 설치하였으니 사진 찍는 재미도 느낄 수 있다.
한옥의 넓은 마당에서 아이들은 반려동물과 함께 뛰어놀고 소나무 숲과 대나무 숲에서 바람에 이는 나뭇잎 소리를 벗삼아 공기 맑고 깨끗한 자연 속에서 편히 쉬었다 가시는 공간이 되길 소망한다.
[행사내용]
1. 메인프로그램 : 핑크뮬리 가든
2. 부대프로그램 : 포토존"
